+========================+========================+========================================+
| Launch Setup Clock     | Launch Hold Clock      | Pin                                    |
+========================+========================+========================================+
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/instr_valid_internal_reg/D       |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[28]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[30]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/addr_reg[11]/D                   |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[29]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[26]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[27]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[31]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[18]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/addr_reg[8]/D                    |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/addr_reg[10]/D                   |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/addr_reg[6]/D                    |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[0]/D                   |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_uart_rx/FSM_sequential_MODE_reg[0]/D |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | wr_addr_reg[10]/D                      |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_uart_rx/FSM_sequential_MODE_reg[1]/D |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[19]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_uart_rx/tick_count_reg[5]/D          |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[17]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[23]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | wr_addr_reg[10]_replica/D              |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[20]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[25]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[16]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/addr_reg[7]/D                    |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/addr_reg[3]/D                    |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[24]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[21]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[10]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/addr_reg[2]/D                    |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[22]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_ppc/count_reg[12]/D                  |
| clk_out1_clk_wiz_0_new | clk_out1_clk_wiz_0_new | u_uart_rx/tick_count_reg[0]/D          |
